RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
43930,6673,HARRISON AVE SE,Local Access,2,761,Urban,761,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,61,3,NA,NA,5,NA,NA,1,0,1,1,61,61
43760,8316,SE HOLLY CT,Local Access,2,146,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146,0
43640,4525,SE ASH AVE,Local Access,2,389,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,389,0
43640,8868,SE ASH AVE,Local Access,2,388,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,388,0
43490,12187,HEATHER CT SE,Local Access,2,141,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141,0
43900,2235,SE LAUREL CT,Local Access,2,139,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139,0
43370,11900,SE PINE TREE DR,Local Access,2,387,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,387,0
43370,1830,SE PINE TREE DR,Local Access,2,729,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,729,0
42790,866,KIDD AVE SE,Local Access,2,618,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,618,0
42710,18039,HIGGINS RD SE,Local Access,2,618,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,618,0
42635,10954,ROOSEVELT AVE SE,Local Access,2,589,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,589,0
42910,12761,JACKSON AVE SE,Minor Arterial,2,978,Urban,978,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,298,NA,3,3,6,NA,NA,1,1,2,2,298,596
42910,12761,JACKSON AVE SE,Minor Arterial,2,978,Urban,978,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,53,NA,3,3,6,NA,NA,1,1,2,2,53,106
43580,11775,RED SPRUCE DR SE,Local Access,2,386,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,386,0
43435,12041,SE CEDAR CT,Local Access,2,292,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,292,0
43474,10991,SE GREENBRIAR PL,Local Access,2,619,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,619,0
43590,5730,WHITE CEDAR DR SE,Local Access,2,663,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,663,0
