RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
71991,3004,DIVISION AVE NE,Minor Arterial,1,220,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,220,0
72040,5899,NE MCKINSTRY ST,Local Access,1,403,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,403,0
71991,9033,DIVISION AVE NE,Local Access,1,1551,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1551,0
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,15,Suquamish Park & Ride,2,Suquamish Park & Ride,50,NA,NA,NA,7,NA,4,0,5,5,5,50,250
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,15,Suquamish Park & Ride,2,Suquamish Park & Ride,140,NA,NA,NA,1,NA,4,0,1,1,1,140,140
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,15,Suquamish Park & Ride,2,Suquamish Park & Ride,147,NA,NA,NA,5,NA,4,0,5,5,5,147,735
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,15,Suquamish Park & Ride,2,Suquamish Park & Ride,6,NA,NA,NA,5,NA,4,0,5,5,5,6,30
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,15,Suquamish Park & Ride,2,Suquamish Park & Ride,51,NA,NA,6,5,NA,4,5,5,10,10,51,510
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,15,Suquamish Park & Ride,2,Suquamish Park & Ride,100,NA,NA,NA,5,NA,4,0,5,5,5,100,500
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,15,Suquamish Park & Ride,2,Suquamish Park & Ride,49,NA,NA,5,NA,NA,4,5,0,5,5,49,245
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,15,Suquamish Park & Ride,2,Suquamish Park & Ride,5,NA,NA,5,NA,NA,4,5,0,5,5,5,25
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,15,Suquamish Park & Ride,2,Suquamish Park & Ride,141,NA,NA,2,NA,NA,4,1,0,1,1,141,141
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,15,Suquamish Park & Ride,2,Suquamish Park & Ride,99,NA,NA,5,NA,NA,4,5,0,5,5,99,495
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,15,Suquamish Park & Ride,2,Suquamish Park & Ride,148,NA,NA,5,NA,NA,4,5,0,5,5,148,740
70310,4576,SUQUAMISH WAY NE,Major Collector,1,1814,Rural,1814,15,Suquamish Park & Ride,2,Suquamish Park & Ride,1,NA,NA,NA,5,NA,6,0,3,3,3,1,3
70310,4576,SUQUAMISH WAY NE,Major Collector,1,1814,Rural,1814,15,Suquamish Park & Ride,2,Suquamish Park & Ride,136,NA,NA,NA,5,NA,6,0,3,3,3,136,408
70310,4576,SUQUAMISH WAY NE,Major Collector,1,1814,Rural,1814,15,Suquamish Park & Ride,2,Suquamish Park & Ride,95,NA,NA,5,5,NA,6,3,3,6,6,95,570
70310,4576,SUQUAMISH WAY NE,Major Collector,1,1814,Rural,1814,15,Suquamish Park & Ride,2,Suquamish Park & Ride,519,NA,NA,6,7,NA,6,5,5,10,10,519,5190
70310,4576,SUQUAMISH WAY NE,Major Collector,1,1814,Rural,1814,15,Suquamish Park & Ride,2,Suquamish Park & Ride,51,NA,NA,NA,5,NA,6,0,3,3,3,51,153
70310,4576,SUQUAMISH WAY NE,Major Collector,1,1814,Rural,1814,15,Suquamish Park & Ride,2,Suquamish Park & Ride,134,NA,NA,5,NA,NA,6,3,0,3,3,134,402
70310,4576,SUQUAMISH WAY NE,Major Collector,1,1814,Rural,1814,15,Suquamish Park & Ride,2,Suquamish Park & Ride,49,NA,NA,5,NA,NA,6,3,0,3,3,49,147
70310,4576,SUQUAMISH WAY NE,Major Collector,1,1814,Rural,1814,15,Suquamish Park & Ride,2,Suquamish Park & Ride,0,NA,NA,5,NA,NA,6,3,0,3,3,0,0
70310,13151,SUQUAMISH WAY NE,Minor Arterial,1,747,Rural,747,15,Suquamish Park & Ride,2,Suquamish Park & Ride,227,NA,NA,6,7,NA,4,5,5,10,10,227,2270
70310,13151,SUQUAMISH WAY NE,Minor Arterial,1,747,Rural,747,15,Suquamish Park & Ride,2,Suquamish Park & Ride,49,NA,NA,NA,1,NA,4,0,1,1,1,49,49
70310,13151,SUQUAMISH WAY NE,Minor Arterial,1,747,Rural,747,15,Suquamish Park & Ride,2,Suquamish Park & Ride,51,NA,NA,2,NA,NA,4,1,0,1,1,51,51
72200,9962,NE SOUTH ST,Local Access,1,144,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,144,0
72740,1455,NE CENTER ST,Local Access,1,251,Rural,251,15,Suquamish Park & Ride,2,Suquamish Park & Ride,76,NA,NA,3,3,NA,3,5,5,10,10,76,760
72740,8320,NE CENTER ST,Local Access,1,224,Rural,224,15,Suquamish Park & Ride,2,Suquamish Park & Ride,68,NA,NA,3,3,NA,3,5,5,10,10,68,680
71991,13201,DIVISION AVE NE,Minor Arterial,1,208,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,208,0
71991,5850,DIVISION AVE NE,Minor Arterial,1,219,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,219,0
71950,4098,PURVES AVE NE,Local Access,1,662,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,662,0
71991,3043,DIVISION AVE NE,Minor Arterial,1,264,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
70310,2125,SUQUAMISH WAY NE,Major Collector,1,1751,Rural,1751,15,Suquamish Park & Ride,2,Suquamish Park & Ride,173,NA,NA,6,7,NA,6,5,5,10,10,173,1730
70310,996,SUQUAMISH WAY NE,Minor Arterial,1,150,Rural,150,15,Suquamish Park & Ride,2,Suquamish Park & Ride,45,NA,NA,6,7,NA,4,5,5,10,10,45,450
72110,6552,ANGELINE AVENUE SOUTH NE,Local Access,1,1285,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1285,0
70320,1625,AUGUSTA AVE NE,Minor Arterial,1,680,Rural,680,15,Suquamish Park & Ride,2,Suquamish Park & Ride,207,NA,NA,2,2,NA,4,1,1,2,2,207,414
70320,1625,AUGUSTA AVE NE,Minor Arterial,1,680,Rural,680,15,Suquamish Park & Ride,2,Suquamish Park & Ride,50,NA,NA,2,2,NA,4,1,1,2,2,50,100
70320,64,AUGUSTA AVE NE,Minor Arterial,1,632,Rural,632,15,Suquamish Park & Ride,2,Suquamish Park & Ride,192,NA,NA,2,2,NA,4,1,1,2,2,192,384
72830,6739,ANGELINE AVE NE,Local Access,1,625,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,625,0
72790,284,HARRIS AVE NE,Local Access,1,525,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,525,0
72450,5846,BROCKTON AVE NE,Local Access,1,225,Rural,225,15,Suquamish Park & Ride,2,Suquamish Park & Ride,56,NA,3,NA,NA,NA,3,0,5,5,5,56,280
72830,6354,ANGELINE AVE NE,Local Access,1,516,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,516,0
72740,7437,NE CENTER ST,Local Access,1,667,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,667,0
72380,3969,NE PEAR ST,Local Access,1,248,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,248,0
72380,5714,NE PEAR ST,Local Access,1,654,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,654,0
74840,1993,NE PLUM ST,Local Access,1,610,Rural,610,15,Suquamish Park & Ride,2,Suquamish Park & Ride,185,NA,NA,2,2,NA,3,1,1,2,2,185,370
72960,3206,NE PINE ST,Local Access,1,1063,Rural,1063,15,Suquamish Park & Ride,2,Suquamish Park & Ride,323,NA,NA,NA,2,NA,3,0,1,1,1,323,323
72960,9726,NE PINE ST,Local Access,1,657,Rural,657,15,Suquamish Park & Ride,2,Suquamish Park & Ride,199,NA,NA,NA,2,NA,3,0,1,1,1,199,199
72960,9726,NE PINE ST,Local Access,1,657,Rural,657,15,Suquamish Park & Ride,2,Suquamish Park & Ride,49,NA,NA,NA,2,NA,3,0,1,1,1,49,49
72325,10369,URBAN AVE NE,Local Access,1,441,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,441,0
71991,935,DIVISION AVE NE,Local Access,1,215,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,215,0
72830,7029,ANGELINE AVE NE,Local Access,1,375,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,375,0
72830,3892,ANGELINE AVE NE,Local Access,1,652,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,652,0
72610,2007,5TH AVE NE,Local Access,1,638,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,638,0
72610,12886,5TH AVE NE,Local Access,1,697,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,697,0
72450,2092,BROCKTON AVE NE,Local Access,1,194,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,194,0
70320,13275,AUGUSTA AVE NE,Minor Arterial,1,632,Rural,632,15,Suquamish Park & Ride,2,Suquamish Park & Ride,50,NA,NA,2,2,NA,4,1,1,2,2,50,100
70320,13275,AUGUSTA AVE NE,Minor Arterial,1,632,Rural,632,15,Suquamish Park & Ride,2,Suquamish Park & Ride,192,NA,NA,2,2,NA,4,1,1,2,2,192,384
71991,3938,DIVISION AVE NE,Local Access,1,219,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,219,0
73189,6980,2ND AVE NE,Local Access,1,645,Rural,645,15,Suquamish Park & Ride,2,Suquamish Park & Ride,196,NA,NA,1,1,NA,3,1,1,2,2,196,392
72450,9042,BROCKTON AVE NE,Local Access,1,220,Rural,220,15,Suquamish Park & Ride,2,Suquamish Park & Ride,67,NA,3,NA,NA,NA,3,0,5,5,5,67,335
71991,861,DIVISION AVE NE,Local Access,1,222,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,222,0
72320,7738,NE GENEVA ST,Local Access,1,153,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,153,0
72450,11684,BROCKTON AVE NE,Local Access,1,215,Rural,215,15,Suquamish Park & Ride,2,Suquamish Park & Ride,65,NA,3,NA,NA,NA,3,0,5,5,5,65,325
70370,8702,MILLER BAY RD NE,Minor Arterial,1,561,Rural,561,15,Suquamish Park & Ride,2,Suquamish Park & Ride,170,NA,NA,3,3,NA,4,1,1,2,2,170,340
74872,14244,NE MIDDLE ST,Local Access,1,282,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,282,0
71990,13125,PARK BLVD NE,Local Access,1,1316,Rural,1316,15,Suquamish Park & Ride,2,Suquamish Park & Ride,78,5,NA,NA,NA,NA,3,5,0,5,5,78,390
72450,8272,BROCKTON AVE NE,Local Access,1,215,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,215,0
72320,7836,NE GENEVA ST,Local Access,1,231,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,231,0
72320,11194,NE GENEVA ST,Local Access,1,230,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,230,0
