RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,PLAN_AREA,TYPE.1,DATE_ADOPT,BCC_RESOLU,islamird,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
72740,7437,NE CENTER ST,Local Access,1,667,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,667,0
72380,3969,NE PEAR ST,Local Access,1,248,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,248,0
72380,5714,NE PEAR ST,Local Access,1,654,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,654,0
74840,1993,NE PLUM ST,Local Access,1,610,Rural,610,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,610,NA,NA,2,2,NA,3,1,1,2,2,610,1220
72960,3206,NE PINE ST,Local Access,1,1063,Rural,1063,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,1063,NA,NA,NA,2,NA,3,0,1,1,1,1063,1063
72960,9726,NE PINE ST,Local Access,1,657,Rural,657,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,657,NA,NA,NA,2,NA,3,0,1,1,1,657,657
72960,9726,NE PINE ST,Local Access,1,657,Rural,657,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,0,NA,NA,NA,2,NA,3,0,1,1,1,0,0
72325,10369,URBAN AVE NE,Local Access,1,441,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,441,0
71991,935,DIVISION AVE NE,Local Access,1,215,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,215,0
72830,7029,ANGELINE AVE NE,Local Access,1,375,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,375,0
72830,3892,ANGELINE AVE NE,Local Access,1,652,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,652,0
72610,2007,5TH AVE NE,Local Access,1,638,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,638,0
72610,12886,5TH AVE NE,Local Access,1,697,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,697,0
72450,2092,BROCKTON AVE NE,Local Access,1,194,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,194,0
70320,13275,AUGUSTA AVE NE,Minor Arterial,1,632,Rural,632,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,0,NA,NA,2,2,NA,4,1,1,2,2,0,0
70320,13275,AUGUSTA AVE NE,Minor Arterial,1,632,Rural,632,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,632,NA,NA,2,2,NA,4,1,1,2,2,632,1264
71991,3938,DIVISION AVE NE,Local Access,1,219,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,219,0
73189,6980,2ND AVE NE,Local Access,1,645,Rural,645,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,645,NA,NA,1,1,NA,3,1,1,2,2,645,1290
72450,9042,BROCKTON AVE NE,Local Access,1,220,Rural,220,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,220,NA,3,NA,NA,NA,3,0,5,5,5,220,1100
71991,861,DIVISION AVE NE,Local Access,1,222,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,222,0
72320,7738,NE GENEVA ST,Local Access,1,153,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,153,0
72450,11684,BROCKTON AVE NE,Local Access,1,215,Rural,215,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,215,NA,3,NA,NA,NA,3,0,5,5,5,215,1075
71990,13125,PARK BLVD NE,Local Access,1,1316,Rural,1316,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,94,5,NA,NA,NA,NA,3,5,0,5,5,94,470
72450,8272,BROCKTON AVE NE,Local Access,1,215,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,215,0
72320,7836,NE GENEVA ST,Local Access,1,231,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,231,0
72320,11194,NE GENEVA ST,Local Access,1,230,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,230,0
72450,6278,BROCKTON AVE NE,Local Access,1,226,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,226,0
