RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
86671,4876,NE WEST KINGSTON RD,Major Collector,2,916,Urban,916,15,Kingston KRL,2,Kingston KRL,279,NA,NA,6,6,6,NA,2,2,4,4,279,1116
86671,4876,NE WEST KINGSTON RD,Major Collector,2,916,Urban,916,15,Kingston KRL,2,Kingston KRL,50,NA,NA,6,6,6,NA,2,2,4,4,50,200
86671,1726,NE WEST KINGSTON RD,Major Collector,2,286,Urban,286,15,Kingston KRL,2,Kingston KRL,86,NA,NA,6,6,6,NA,2,2,4,4,86,344
86671,12309,NE WEST KINGSTON RD,Major Collector,2,632,Urban,632,15,Kingston KRL,2,Kingston KRL,51,NA,NA,6,6,6,NA,2,2,4,4,51,204
86671,12309,NE WEST KINGSTON RD,Major Collector,2,632,Urban,632,15,Kingston KRL,2,Kingston KRL,192,NA,NA,6,6,6,NA,2,2,4,4,192,768
86671,6555,NE WEST KINGSTON RD,Major Collector,2,500,Urban,500,15,Kingston KRL,2,Kingston KRL,152,NA,NA,6,6,6,NA,2,2,4,4,152,608
86671,1728,NE WEST KINGSTON RD,Major Collector,2,356,Urban,356,15,Kingston KRL,2,Kingston KRL,108,NA,NA,6,6,6,NA,2,2,4,4,108,432
86671,7826,NE WEST KINGSTON RD,Major Collector,2,134,Urban,134,15,Kingston KRL,2,Kingston KRL,40,NA,NA,6,6,6,NA,2,2,4,4,40,160
84810,14219,CENTRAL AVE NE,Local Access,2,336,Urban,336,15,Kingston KRL,2,Kingston KRL,45,5,NA,NA,NA,5,NA,5,0,5,5,45,225
86671,16474,NE WEST KINGSTON RD,Major Collector,2,57,Urban,57,15,Kingston KRL,2,Kingston KRL,17,NA,NA,6,6,6,NA,2,2,4,4,17,68
86671,16474,NE WEST KINGSTON RD,Major Collector,2,57,Urban,57,15,Kingston KRL,2,Kingston KRL,15,NA,NA,6,6,6,NA,2,2,4,4,15,60
86671,2556,NE WEST KINGSTON RD,Major Collector,2,114,Urban,114,15,Kingston KRL,2,Kingston KRL,34,NA,NA,6,6,6,NA,2,2,4,4,34,136
83937,9920,DULAY RD NE,Local Access,2,534,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,534,0
84370,5764,WASHINGTON BLVD NE,Local Access,2,374,Urban,374,15,Kingston KRL,2,Kingston KRL,49,NA,NA,2,2,5,NA,1,1,2,2,49,98
86685,16124,SOUTH KINGSTON RD NE,Major Collector,2,332,Urban,332,15,Kingston KRL,2,Kingston KRL,101,NA,NA,5,5,6,NA,1,1,2,2,101,202
86685,16124,SOUTH KINGSTON RD NE,Major Collector,2,332,Urban,332,15,Kingston KRL,2,Kingston KRL,72,NA,NA,NA,5,6,NA,1,0,1,1,72,72
86685,16124,SOUTH KINGSTON RD NE,Major Collector,2,332,Urban,332,15,Kingston KRL,2,Kingston KRL,71,NA,NA,5,NA,6,NA,0,1,1,1,71,71
84370,6682,WASHINGTON BLVD NE,Local Access,2,549,Urban,549,15,Kingston KRL,2,Kingston KRL,167,5,NA,1,1,5,NA,5,1,6,6,167,1002
86671,14193,NE WEST KINGSTON RD,Major Collector,2,24,Urban,24,15,Kingston KRL,2,Kingston KRL,7,NA,NA,6,6,6,NA,2,2,4,4,7,28
83695,10488,TUCKERMAN AVE NE,Local Access,2,146,Urban,146,15,Kingston KRL,2,Kingston KRL,44,NA,3,NA,NA,5,NA,0,1,1,1,44,44
83690,4880,BARBER CUT OFF RD NE,Local Access,2,1239,Urban,1239,15,Kingston KRL,2,Kingston KRL,318,NA,NA,6,2,5,NA,1,2,3,3,318,954
83695,12764,TUCKERMAN AVE NE,Local Access,2,815,Urban,815,15,Kingston KRL,2,Kingston KRL,38,NA,3,NA,NA,5,NA,0,1,1,1,38,38
86671,6219,NE WEST KINGSTON RD,Major Collector,2,1293,Urban,1293,15,Kingston KRL,2,Kingston KRL,172,NA,NA,6,6,6,NA,2,2,4,4,172,688
86671,6219,NE WEST KINGSTON RD,Major Collector,2,1293,Urban,1293,15,Kingston KRL,2,Kingston KRL,61,NA,NA,6,6,6,NA,2,2,4,4,61,244
86671,8397,NE WEST KINGSTON RD,Major Collector,2,99,Urban,99,15,Kingston KRL,2,Kingston KRL,30,NA,NA,6,6,6,NA,2,2,4,4,30,120
86685,16123,SOUTH KINGSTON RD NE,Major Collector,2,327,Urban,327,15,Kingston KRL,2,Kingston KRL,98,NA,NA,5,5,6,NA,1,1,2,2,98,196
84650,7748,ILLINOIS AVE NE,Local Access,2,1006,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1006,0
84650,19258,ILLINOIS AVE NE,Local Access,2,734,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,734,0
84830,14583,PENNSYLVANIA AVE NE,Local Access,2,31,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,0
84810,18097,CENTRAL AVE NE,Local Access,2,57,Urban,57,15,Kingston KRL,2,Kingston KRL,17,5,NA,NA,NA,5,NA,5,0,5,5,17,85
84370,15570,WASHINGTON BLVD NE,Local Access,2,22,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,0
